name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w0.5_i0.001_o0.008_C_128,0.5,0.001,0.008,100,128,128,32,32,3,3,1,1
w0.25_i0.499_o0.2675_C_128,0.25,0.499,0.2675,100,128,128,32,32,3,3,1,1
w0.25_i0.4_o0.2578_C_128,0.25,0.4,0.2578,100,128,128,32,32,3,3,1,1
w0.25_i0.299_o0.2477_C_128,0.25,0.299,0.2477,100,128,128,32,32,3,3,1,1
w0.25_i0.199_o0.2272_C_128,0.25,0.199,0.2272,100,128,128,32,32,3,3,1,1
w0.25_i0.101_o0.1917_C_128,0.25,0.101,0.1917,100,128,128,32,32,3,3,1,1
w0.25_i0.051_o0.1489_C_128,0.25,0.051,0.1489,100,128,128,32,32,3,3,1,1
w0.25_i0.01_o0.079_C_128,0.25,0.01,0.079,100,128,128,32,32,3,3,1,1
w0.25_i0.001_o0.0202_C_128,0.25,0.001,0.0202,100,128,128,32,32,3,3,1,1
w0.1_i0.5_o0.252_C_128,0.1,0.5,0.252,100,128,128,32,32,3,3,1,1
w0.1_i0.401_o0.2375_C_128,0.1,0.401,0.2375,100,128,128,32,32,3,3,1,1
w0.1_i0.299_o0.2217_C_128,0.1,0.299,0.2217,100,128,128,32,32,3,3,1,1
w0.1_i0.199_o0.2048_C_128,0.1,0.199,0.2048,100,128,128,32,32,3,3,1,1
w0.1_i0.099_o0.1724_C_128,0.1,0.099,0.1724,100,128,128,32,32,3,3,1,1
w0.1_i0.05_o0.1489_C_128,0.1,0.05,0.1489,100,128,128,32,32,3,3,1,1
w0.1_i0.01_o0.1004_C_128,0.1,0.01,0.1004,100,128,128,32,32,3,3,1,1
w0.1_i0.001_o0.0262_C_128,0.1,0.001,0.0262,100,128,128,32,32,3,3,1,1
name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w1.0_i0.499_o0.2778_C_128,1.0,0.499,0.2778,100,128,128,32,32,3,3,1,1
w1.0_i0.4_o0.2689_C_128,1.0,0.4,0.2689,100,128,128,32,32,3,3,1,1
w1.0_i0.303_o0.2597_C_128,1.0,0.303,0.2597,100,128,128,32,32,3,3,1,1
w1.0_i0.201_o0.2403_C_128,1.0,0.201,0.2403,100,128,128,32,32,3,3,1,1
w1.0_i0.101_o0.2026_C_128,1.0,0.101,0.2026,100,128,128,32,32,3,3,1,1
w1.0_i0.05_o0.1632_C_128,1.0,0.05,0.1632,100,128,128,32,32,3,3,1,1
w1.0_i0.01_o0.0563_C_128,1.0,0.01,0.0563,100,128,128,32,32,3,3,1,1
w1.0_i0.001_o0.0042_C_128,1.0,0.001,0.0042,100,128,128,32,32,3,3,1,1
w0.8_i0.5_o0.2782_C_128,0.8,0.5,0.2782,100,128,128,32,32,3,3,1,1
w0.8_i0.4_o0.2657_C_128,0.8,0.4,0.2657,100,128,128,32,32,3,3,1,1
w0.8_i0.301_o0.2557_C_128,0.8,0.301,0.2557,100,128,128,32,32,3,3,1,1
w0.8_i0.201_o0.2396_C_128,0.8,0.201,0.2396,100,128,128,32,32,3,3,1,1
w0.8_i0.1_o0.208_C_128,0.8,0.1,0.208,100,128,128,32,32,3,3,1,1
w0.8_i0.051_o0.1635_C_128,0.8,0.051,0.1635,100,128,128,32,32,3,3,1,1
w0.8_i0.01_o0.0572_C_128,0.8,0.01,0.0572,100,128,128,32,32,3,3,1,1
w0.8_i0.001_o0.0052_C_128,0.8,0.001,0.0052,100,128,128,32,32,3,3,1,1
w0.6_i0.5_o0.2767_C_128,0.6,0.5,0.2767,100,128,128,32,32,3,3,1,1
w0.6_i0.401_o0.2688_C_128,0.6,0.401,0.2688,100,128,128,32,32,3,3,1,1
w0.6_i0.299_o0.2592_C_128,0.6,0.299,0.2592,100,128,128,32,32,3,3,1,1
w0.6_i0.201_o0.2361_C_128,0.6,0.201,0.2361,100,128,128,32,32,3,3,1,1
w0.6_i0.1_o0.1961_C_128,0.6,0.1,0.1961,100,128,128,32,32,3,3,1,1
w0.6_i0.05_o0.1554_C_128,0.6,0.05,0.1554,100,128,128,32,32,3,3,1,1
w0.6_i0.01_o0.0665_C_128,0.6,0.01,0.0665,100,128,128,32,32,3,3,1,1
w0.6_i0.001_o0.0083_C_128,0.6,0.001,0.0083,100,128,128,32,32,3,3,1,1
w0.5_i0.499_o0.268_C_128,0.5,0.499,0.268,100,128,128,32,32,3,3,1,1
w0.5_i0.4_o0.2566_C_128,0.5,0.4,0.2566,100,128,128,32,32,3,3,1,1
w0.5_i0.298_o0.2443_C_128,0.5,0.298,0.2443,100,128,128,32,32,3,3,1,1
w0.5_i0.2_o0.2257_C_128,0.5,0.2,0.2257,100,128,128,32,32,3,3,1,1
w0.5_i0.1_o0.1918_C_128,0.5,0.1,0.1918,100,128,128,32,32,3,3,1,1
w0.5_i0.051_o0.1544_C_128,0.5,0.051,0.1544,100,128,128,32,32,3,3,1,1
w0.5_i0.01_o0.0655_C_128,0.5,0.01,0.0655,100,128,128,32,32,3,3,1,1
w0.5_i0.001_o0.008_C_128,0.5,0.001,0.008,100,128,128,32,32,3,3,1,1
w0.25_i0.499_o0.2675_C_128,0.25,0.499,0.2675,100,128,128,32,32,3,3,1,1
w0.25_i0.4_o0.2578_C_128,0.25,0.4,0.2578,100,128,128,32,32,3,3,1,1
w0.25_i0.299_o0.2477_C_128,0.25,0.299,0.2477,100,128,128,32,32,3,3,1,1
w0.25_i0.199_o0.2272_C_128,0.25,0.199,0.2272,100,128,128,32,32,3,3,1,1
w0.25_i0.101_o0.1917_C_128,0.25,0.101,0.1917,100,128,128,32,32,3,3,1,1
w0.25_i0.051_o0.1489_C_128,0.25,0.051,0.1489,100,128,128,32,32,3,3,1,1
w0.25_i0.01_o0.079_C_128,0.25,0.01,0.079,100,128,128,32,32,3,3,1,1
w0.25_i0.001_o0.0202_C_128,0.25,0.001,0.0202,100,128,128,32,32,3,3,1,1
w0.1_i0.5_o0.252_C_128,0.1,0.5,0.252,100,128,128,32,32,3,3,1,1
w0.1_i0.401_o0.2375_C_128,0.1,0.401,0.2375,100,128,128,32,32,3,3,1,1
w0.1_i0.299_o0.2217_C_128,0.1,0.299,0.2217,100,128,128,32,32,3,3,1,1
w0.1_i0.199_o0.2048_C_128,0.1,0.199,0.2048,100,128,128,32,32,3,3,1,1
w0.1_i0.099_o0.1724_C_128,0.1,0.099,0.1724,100,128,128,32,32,3,3,1,1
w0.1_i0.05_o0.1489_C_128,0.1,0.05,0.1489,100,128,128,32,32,3,3,1,1
w0.1_i0.01_o0.1004_C_128,0.1,0.01,0.1004,100,128,128,32,32,3,3,1,1
w0.1_i0.001_o0.0262_C_128,0.1,0.001,0.0262,100,128,128,32,32,3,3,1,1
name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w1.0_i0.499_o0.2778_C_128,1.0,0.499,0.2778,100,128,128,32,32,3,3,1,1
w1.0_i0.4_o0.2689_C_128,1.0,0.4,0.2689,100,128,128,32,32,3,3,1,1
w1.0_i0.303_o0.2597_C_128,1.0,0.303,0.2597,100,128,128,32,32,3,3,1,1
w1.0_i0.201_o0.2403_C_128,1.0,0.201,0.2403,100,128,128,32,32,3,3,1,1
w1.0_i0.101_o0.2026_C_128,1.0,0.101,0.2026,100,128,128,32,32,3,3,1,1
w1.0_i0.05_o0.1632_C_128,1.0,0.05,0.1632,100,128,128,32,32,3,3,1,1
w1.0_i0.01_o0.0563_C_128,1.0,0.01,0.0563,100,128,128,32,32,3,3,1,1
w1.0_i0.001_o0.0042_C_128,1.0,0.001,0.0042,100,128,128,32,32,3,3,1,1
w0.8_i0.5_o0.2782_C_128,0.8,0.5,0.2782,100,128,128,32,32,3,3,1,1
w0.8_i0.4_o0.2657_C_128,0.8,0.4,0.2657,100,128,128,32,32,3,3,1,1
w0.8_i0.301_o0.2557_C_128,0.8,0.301,0.2557,100,128,128,32,32,3,3,1,1
w0.8_i0.201_o0.2396_C_128,0.8,0.201,0.2396,100,128,128,32,32,3,3,1,1
w0.8_i0.1_o0.208_C_128,0.8,0.1,0.208,100,128,128,32,32,3,3,1,1
w0.8_i0.051_o0.1635_C_128,0.8,0.051,0.1635,100,128,128,32,32,3,3,1,1
w0.8_i0.01_o0.0572_C_128,0.8,0.01,0.0572,100,128,128,32,32,3,3,1,1
w0.8_i0.001_o0.0052_C_128,0.8,0.001,0.0052,100,128,128,32,32,3,3,1,1
w0.6_i0.5_o0.2767_C_128,0.6,0.5,0.2767,100,128,128,32,32,3,3,1,1
w0.6_i0.401_o0.2688_C_128,0.6,0.401,0.2688,100,128,128,32,32,3,3,1,1
w0.6_i0.299_o0.2592_C_128,0.6,0.299,0.2592,100,128,128,32,32,3,3,1,1
w0.6_i0.201_o0.2361_C_128,0.6,0.201,0.2361,100,128,128,32,32,3,3,1,1
w0.6_i0.1_o0.1961_C_128,0.6,0.1,0.1961,100,128,128,32,32,3,3,1,1
w0.6_i0.05_o0.1554_C_128,0.6,0.05,0.1554,100,128,128,32,32,3,3,1,1
w0.6_i0.01_o0.0665_C_128,0.6,0.01,0.0665,100,128,128,32,32,3,3,1,1
w0.6_i0.001_o0.0083_C_128,0.6,0.001,0.0083,100,128,128,32,32,3,3,1,1
w0.5_i0.499_o0.268_C_128,0.5,0.499,0.268,100,128,128,32,32,3,3,1,1
w0.5_i0.4_o0.2566_C_128,0.5,0.4,0.2566,100,128,128,32,32,3,3,1,1
w0.5_i0.298_o0.2443_C_128,0.5,0.298,0.2443,100,128,128,32,32,3,3,1,1
w0.5_i0.2_o0.2257_C_128,0.5,0.2,0.2257,100,128,128,32,32,3,3,1,1
w0.5_i0.1_o0.1918_C_128,0.5,0.1,0.1918,100,128,128,32,32,3,3,1,1
w0.5_i0.051_o0.1544_C_128,0.5,0.051,0.1544,100,128,128,32,32,3,3,1,1
w0.5_i0.01_o0.0655_C_128,0.5,0.01,0.0655,100,128,128,32,32,3,3,1,1
w0.5_i0.001_o0.008_C_128,0.5,0.001,0.008,100,128,128,32,32,3,3,1,1
w0.25_i0.499_o0.2675_C_128,0.25,0.499,0.2675,100,128,128,32,32,3,3,1,1
w0.25_i0.4_o0.2578_C_128,0.25,0.4,0.2578,100,128,128,32,32,3,3,1,1
w0.25_i0.299_o0.2477_C_128,0.25,0.299,0.2477,100,128,128,32,32,3,3,1,1
w0.25_i0.199_o0.2272_C_128,0.25,0.199,0.2272,100,128,128,32,32,3,3,1,1
w0.25_i0.101_o0.1917_C_128,0.25,0.101,0.1917,100,128,128,32,32,3,3,1,1
w0.25_i0.051_o0.1489_C_128,0.25,0.051,0.1489,100,128,128,32,32,3,3,1,1
w0.25_i0.01_o0.079_C_128,0.25,0.01,0.079,100,128,128,32,32,3,3,1,1
w0.25_i0.001_o0.0202_C_128,0.25,0.001,0.0202,100,128,128,32,32,3,3,1,1
w0.1_i0.5_o0.252_C_128,0.1,0.5,0.252,100,128,128,32,32,3,3,1,1
w0.1_i0.401_o0.2375_C_128,0.1,0.401,0.2375,100,128,128,32,32,3,3,1,1
w0.1_i0.299_o0.2217_C_128,0.1,0.299,0.2217,100,128,128,32,32,3,3,1,1
w0.1_i0.199_o0.2048_C_128,0.1,0.199,0.2048,100,128,128,32,32,3,3,1,1
w0.1_i0.099_o0.1724_C_128,0.1,0.099,0.1724,100,128,128,32,32,3,3,1,1
w0.1_i0.05_o0.1489_C_128,0.1,0.05,0.1489,100,128,128,32,32,3,3,1,1
w0.1_i0.01_o0.1004_C_128,0.1,0.01,0.1004,100,128,128,32,32,3,3,1,1
w0.1_i0.001_o0.0262_C_128,0.1,0.001,0.0262,100,128,128,32,32,3,3,1,1
